,movie_title,release_date,genre,avg_rating,prod_budget,domestic_gross,global_gross,release_month,ROI,global_gross_millions,prod_budget_millions,budget_category,rating_category,roi_category
2094,"Bright Lights, Big City",1988-04-01,drama,5.7,25000000,16118077,16118077,Apr,-0.35527692,16.12,25.0,Moderate Budget,Low Rating,Low ROI
3766,Lady in White,1988-04-22,fantasy,6.5,4700000,1705139,1705139,Apr,-0.6372044680851063,1.71,4.7,Low Budget,Moderate Rating,Low ROI
3988,Friday the 13th Part VII: The New Blood,1988-05-13,horror,5.2,2800000,19170001,19170001,May,5.846428928571428,19.17,2.8,Low Budget,Low Rating,High ROI
926,Rambo III,1988-05-25,action,5.8,58000000,53715611,188715611,May,2.2537174310344827,188.72,58.0,High Budget,Low Rating,High ROI
2527,Big,1988-06-03,comedy,7.3,18000000,114968774,151665347,Jun,7.425852611111111,151.67,18.0,Moderate Budget,High Rating,High ROI
3305,Poltergeist III,1988-06-10,horror,4.7,9500000,14114000,14114000,Jun,0.4856842105263158,14.11,9.5,Low Budget,Low Rating,Moderate ROI
3945,Phantasm II,1988-07-08,action,6.4,3000000,7282851,7282851,Jul,1.427617,7.28,3.0,Low Budget,Moderate Rating,Moderate ROI
1900,Die Hard,1988-07-15,action,8.2,28000000,81675242,139434346,Jul,3.9797980714285712,139.43,28.0,Moderate Budget,High Rating,High ROI
1787,Midnight Run,1988-07-20,action,7.5,30000000,38413606,81613606,Jul,1.7204535333333333,81.61,30.0,Moderate Budget,High Rating,Moderate ROI
2312,Cocktail,1988-07-29,comedy,5.9,20000000,78222753,78222753,Jul,2.91113765,78.22,20.0,Moderate Budget,Low Rating,High ROI
3497,The Last Temptation of Christ,1988-08-12,drama,7.5,7000000,8373585,8373585,Aug,0.19622642857142858,8.37,7.0,Low Budget,High Rating,Moderate ROI
2924,Young Guns,1988-08-12,action,6.8,13000000,44726644,44726644,Aug,2.440511076923077,44.73,13.0,Low Budget,Moderate Rating,High ROI
2920,A Nightmare on Elm Street 4: The Dream Master,1988-08-19,horror,5.6,13000000,49369899,49369899,Aug,2.7976845384615383,49.37,13.0,Low Budget,Low Rating,High ROI
3686,Halloween 4: The Return of Michael Myers,1988-10-01,horror,5.8,5000000,17768757,17768757,Oct,2.5537514,17.77,5.0,Low Budget,Low Rating,High ROI
3578,Mystic Pizza,1988-10-21,comedy,6.3,6000000,12793213,12793213,Oct,1.1322021666666666,12.79,6.0,Low Budget,Moderate Rating,Moderate ROI
3812,They Live,1988-11-04,action,7.2,4000000,13000000,13001044,Nov,2.250261,13.0,4.0,Low Budget,High Rating,High ROI
2982,The Land Before Time,1988-11-18,adventure,7.4,12300000,48092846,81972846,Nov,5.6644590243902435,81.97,12.3,Low Budget,High Rating,High ROI
1676,Scrooged,1988-11-23,comedy,6.9,32000000,59450353,59450796,Nov,0.857837375,59.45,32.0,Moderate Budget,High Rating,Moderate ROI
3831,Talk Radio,1988-12-01,drama,7.2,4000000,3468572,3468572,Dec,-0.132857,3.47,4.0,Low Budget,High Rating,Low ROI
2692,My Stepmother Is an Alien,1988-12-09,comedy,5.4,16000000,13854000,13854000,Dec,-0.134125,13.85,16.0,Moderate Budget,Low Rating,Low ROI
2720,Twins,1988-12-09,comedy,6.1,15000000,111936388,216600000,Dec,13.44,216.6,15.0,Low Budget,Moderate Rating,High ROI
2009,Rain Man,1988-12-16,drama,8.0,25000000,172825435,412800000,Dec,15.512,412.8,25.0,Moderate Budget,High Rating,High ROI
2866,Dangerous Liaisons,1988-12-21,drama,7.6,14000000,34700000,34700000,Dec,1.4785714285714286,34.7,14.0,Low Budget,High Rating,Moderate ROI
4031,The Toxic Avenger Part II,1989-02-24,action,5.0,2300000,28950,28950,Feb,-0.9874130434782609,0.03,2.3,Low Budget,Low Rating,Low ROI
2811,New York Stories,1989-03-01,comedy,6.4,15000000,10763469,10763469,Mar,-0.2824354,10.76,15.0,Low Budget,Moderate Rating,Low ROI
2586,Troop Beverly Hills,1989-03-22,adventure,5.8,18000000,7190505,7190505,Mar,-0.6005275,7.19,18.0,Moderate Budget,Low Rating,Low ROI
3090,Major League,1989-04-07,comedy,7.2,11000000,49793054,49793054,Apr,3.526641272727273,49.79,11.0,Low Budget,High Rating,High ROI
3081,Pet Sematary,1989-04-21,fantasy,6.5,11500000,57469179,57469850,Apr,3.9973782608695654,57.47,11.5,Low Budget,Moderate Rating,High ROI
3177,Road House,1989-05-19,action,6.6,10000000,30050028,30050028,May,2.0050028,30.05,10.0,Low Budget,Moderate Rating,Moderate ROI
1151,Indiana Jones and the Last Crusade,1989-05-24,action,8.2,48000000,197171806,474171806,May,8.878579291666666,474.17,48.0,High Budget,High Rating,High ROI
2661,Dead Poets Society,1989-06-02,comedy,8.1,16400000,95860116,239500000,Jun,13.603658536585366,239.5,16.4,Moderate Budget,High Rating,High ROI
1761,Star Trek V: The Final Frontier,1989-06-09,action,5.5,30000000,52210049,70200000,Jun,1.34,70.2,30.0,Moderate Budget,Low Rating,Moderate ROI
1526,Batman,1989-06-23,action,7.5,35000000,251188924,411348924,Jun,10.7528264,411.35,35.0,Moderate Budget,High Rating,High ROI
3563,Do the Right Thing,1989-06-30,comedy,7.9,6000000,26004026,26051502,Jun,3.341917,26.05,6.0,Low Budget,High Rating,High ROI
1286,Licence to Kill,1989-07-14,action,6.6,42000000,34667015,156167015,Jul,2.718262261904762,156.17,42.0,High Budget,Moderate Rating,High ROI
3718,UHF,1989-07-21,comedy,6.9,5000000,6157157,6157157,Jul,0.2314314,6.16,5.0,Low Budget,High Rating,Moderate ROI
3695,Friday the 13th Part VIII: Jason Takes Manhattan,1989-07-28,adventure,4.5,5000000,14343976,14343976,Jul,1.8687952,14.34,5.0,Low Budget,Low Rating,Moderate ROI
4156,"Sex, Lies, and Videotape",1989-08-04,drama,7.2,1200000,24741667,36741667,Aug,29.618055833333333,36.74,1.2,Low Budget,High Rating,High ROI
